volume_id,cohort,region
WholeBody_autoPETCT_0521,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0549,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0627,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0659,WholeBody_autoPETCT,mixed
Chest_LIDC-IDRI_0005,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0013,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0041,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0094,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0097,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0110,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0118,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0131,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0147,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0187,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0235,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0277,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0280,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0287,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0319,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0332,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0368,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0400,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0484,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0490,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0499,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0508,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0530,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0539,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0626,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0629,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0644,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0654,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0719,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0736,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0750,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0766,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0770,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0786,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0790,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0868,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0875,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0883,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0956,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0999,Chest_LIDC-IDRI,thorax
Chest_LNDb_0004,Chest_LNDb,thorax
Chest_LNDb_0005,Chest_LNDb,thorax
Chest_LNDb_0025,Chest_LNDb,thorax
Chest_LNDb_0041,Chest_LNDb,thorax
Chest_LNDb_0043,Chest_LNDb,thorax
Chest_LNDb_0044,Chest_LNDb,thorax
Chest_LNDb_0056,Chest_LNDb,thorax
Chest_LNDb_0066,Chest_LNDb,thorax
Chest_LNDb_0090,Chest_LNDb,thorax
Chest_LNDb_0097,Chest_LNDb,thorax
Chest_LNDb_0117,Chest_LNDb,thorax
Chest_LNDb_0124,Chest_LNDb,thorax
Chest_LNDb_0161,Chest_LNDb,thorax
Chest_LNDb_0162,Chest_LNDb,thorax
Chest_LNDb_0186,Chest_LNDb,thorax
Chest_LNDb_0188,Chest_LNDb,thorax
Chest_LNDb_0189,Chest_LNDb,thorax
Chest_LNDb_0190,Chest_LNDb,thorax
Chest_LNDb_0191,Chest_LNDb,thorax
Chest_LNDb_0194,Chest_LNDb,thorax
Chest_LNDb_0226,Chest_LNDb,thorax
Chest_LNDb_0240,Chest_LNDb,thorax
Chest_LNDb_0265,Chest_LNDb,thorax
Chest_LNDb_0272,Chest_LNDb,thorax
Chest_LNDb_0279,Chest_LNDb,thorax
Chest_LNDb_0283,Chest_LNDb,thorax
Chest_LNDb_0288,Chest_LNDb,thorax
Chest_LNDb_0289,Chest_LNDb,thorax
Chest_LNDb_0301,Chest_LNDb,thorax
Chest_LNDb_0308,Chest_LNDb,thorax
Chest_LNDb_0312,Chest_LNDb,thorax
Chest_NSCLC-Radiogenomics_R01-005,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-012,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-021,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-039,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-042,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-054,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-062,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-088,Chest_NSCLC-Radiogenomics,thorax
HeadNeck_SegRap25_0003-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0006-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0016-cect,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0047-cect,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0048-cect,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0052-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0055-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0068-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0074-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0081-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0088-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0094-cect,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0099-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0100-ncct,HeadNeck_SegRap25,head_neck
Liver-Totalseg-lesions_0LHth9cfqxoisxhI,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_AXEmXmbXXDisAeQX,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_Auqzq3k4LbDBh04B,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_BS67JU6c3Zm0dqxi,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_FoeHuaabbxnBRZFZ,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_HHFbn6egyLRbHF3g,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_HrFF0EeBwMd3dBVz,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_MFFJDZXy3p08KR5B,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_Op39ge46VkFwiBX2,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_Pd6cEwxz0eX8mvX5,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_QzOOm3o4Ayz3cdlH,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_TZRtZ6my6b6V4orP,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_TfwVZoP0CnQZJ8Nz,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_UvZ1wkvUrRFXotWR,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_VNClxZC5GmUMmxzg,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_Vo5MyVU69MbeWaNV,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_X2vAMsMfyseBk2My,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_XTP5WJstBLuGjt4E,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_XnXTQTcmNAekhNbJ,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_Z1W7H7Opb8SlgsyE,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_aeYS82YqNQEd2fcb,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_cqqEUoi3mWGkgW5l,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_ehx5bvIzwZFd3DLD,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_gOplIDSz2EYA2cB6,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_gx5txaTcoBJLLmwt,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_j1uTG4TKJZLU21t1,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_ludgH7ZCnCVc3tb4,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_nKZurmUOfDRDlaM5,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_q3WPVcQxFc98bWnt,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_qmLfEwjzUTbZDoHt,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_sXIBM2cy198475ay,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_tCa0D8MhxlF3ItWt,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_tG3vItkP2GbGGnXp,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_te3kLoLN43qXk35S,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_tvF6PTnquf9pdO1J,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_umP0otuFk2E2CMFA,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_wNR1uduDGYoEeaak,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_wpmjO42etzPkFrlI,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_zCszLS1ixI3FYDPc,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_zvVxLLDgQ5tN4DOz,Liver-Totalseg-lesions,abdomen
Liver_HCC-TACE-SEG_022,Liver_HCC-TACE-SEG,abdomen
Liver_HCC-TACE-SEG_024,Liver_HCC-TACE-SEG,abdomen
Liver_HCC-TACE-SEG_037,Liver_HCC-TACE-SEG,abdomen
Pancreas_PanTrack_029-20230116,Pancreas_PanTrack,abdomen
Pancreas_PanTrack_035-20231020,Pancreas_PanTrack,abdomen
Pancreas_PanTrack_036-20220315,Pancreas_PanTrack,abdomen
Pancreas_PanTrack_043-20240918,Pancreas_PanTrack,abdomen
WholeBody_LongitudinalCTLesion_140f6969d5-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_37a749d808-BL-02,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_502e4a1693-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_568628e0d9-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_56d9ba4ec6-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_577ef1154f-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_5878a7ab84-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_6f3ef77ac0-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_758874998f-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_9188905e74-BL-01,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_9dfcd5e558-BL-01,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_d6baf65e0b-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_dc5c7986da-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_e56954b4f6-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_e64770ac6b-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_eb16372791-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_MSWAL_0021,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0089,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0098,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0147,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0162,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0166,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0204,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0208,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0214,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0224,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0234,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0243,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0248,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0251,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0255,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0283,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0399,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0409,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0447,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0498,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0531,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0605,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0632,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0653,WholeBody_MSWAL,mixed
WholeBody_autoPETCT_0011,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0023,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0102,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0218,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0244,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0246,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0272,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0287,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0289,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0305,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0360,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0390,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0393,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0421,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0448,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0457,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0460,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0647,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0648,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0660,WholeBody_autoPETCT,mixed
